Fecha de solicitud;Grupo de compras;Solicitud de pedido;Pos.solicitud pedido;Material;Pedido;Texto breve;Fabricante;Nº pieza fabricante;Cantidad solicitada;Unidad de medida;Almacén;Nombre de proveedor;Nº material de proveedor;Proveedor deseado;Proveedor fijo;Proveedor;Creado por;Fecha de liberación;Fecha orden compra;Indicador creación;Contrato marco;Pos.contrato sup.;Pedido marco;Posición pedido marco;Planif.necesidades;Clase documento;Tipo de posición;Tipo de imputación;Reg.info de compras;Unidad medida pedido;Precio de valoración;Valor total;Moneda;Centro;Solicitante;Indicador de borrado;Status tratamiento solicitud pedido;Status tratamiento;Indicador de bloqueo;Texto bloqueo;Perfil piezas fabric.;Grupo de artículos;Número de necesidad;Entrada mercancías;EM no valorada;Recepción facturas;Posición de pedido;Plazo entrega prev.;Entregas (de/a);Liberación general de solic.ped.;Urgencia necesidad;Prioridad nec.;Nº reserva;Consumo;Categoría material;Fecha Aprobación;Liberador Siguiente
12/01/2023;C01;1000000023;210;1101139443;;SIMADYN D I/O SUBMODULE IT42 FOR PM4/PM;SIEMENS;6DD1606-4AB0;2;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;10.00;20.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;13/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;220;1101139450;;SIMADYN D MEMORY SUBMODULE MS41 16 BIT,;SIEMENS;6DD1610-0AG1;5;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P02;ZS01;;;;;1.00;5.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;13/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;230;1101139955;;SINGLE THYRISTOR MODULE 1.5 KV TRIGGER B;SIEMENS;6QA5013-6AK20;2;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P02;ZS01;;;;;1.00;2.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;13/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;240;1101163526;;SIMADYN D MAILBOX MM4 32 BIT L AND C-B U;SIEMENS;6DD1611-0AG0;2;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P02;ZS01;;;;;1.00;2.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;250;1101163534;;SIMADYN D ANALOG OUTPUT MODULE EA12 8AO;SIEMENS;6DD1642-0BC0;2;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P02;ZS01;;;;;1.00;2.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;260;1101163542;;SIMADYN D COMMUNICATION MODULE CS7 CARRI;SIEMENS;6DD1662-0AB0;2;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P02;ZS01;;;;;1.00;2.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;270;1101163559;;SIMADYN D BINARY INPUTOR OUTPUT SB10 8 B;SIEMENS;6DD1681-0AE2;1;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;1.00;1.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;280;1101163567;;SIMADYN D BINARY OUTPUT MODULE SB70 8 BO;SIEMENS;6DD1681-0AG2;1;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;1.00;1.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;290;1101163583;;SIMADYN D CONVERTER SU11 20 POLE 20 SCRE;SIEMENS;6DD1681-0EA1;1;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;1.00;1.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;300;1101163609;;SIMADYN D COMMUNICATION SUBMODULE SS4 FO;SIEMENS;6DD1688-0AD0;1;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;1.00;1.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;310;1101163625;;DIGITAL CONTROL SYSTEM SIMADYND THYRISTO;SIEMENS;6DD2920-0AJ0;2;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P02;ZS01;;;;;1.00;2.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;7;19/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;320;1101139427;;SIMATIC OP 270 6 & # 34 OPERATOR PANEL 5;SIEMENS;6AV6542-0CA10-0AX0;1;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P02;ZS01;;;;;1.00;1.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;30;11/02/2023;Sí;0;0;0;;;28/03/2023;
